id,structure,informativity,on-topic,correctness
753,0,2,4,0
1230,0,3,4,4
2951,4,4,4,0
2251,0,2,2,4
3141,0,2,2,3
1535,0,4,4,4
4267,0,3,4,0
584,0,3,4,4
24,0,4,4,4
3818,0,3,4,4
2222,0,4,4,0
206,0,4,4,4
3092,4,4,4,0
3444,0,3,4,4
1996,2,3,2,2
1037,0,4,4,4
4554,0,4,4,4
122,4,4,4,0
4565,3,4,3,4
3670,0,4,4,4
3182,0,2,4,4
4197,4,4,4,0
393,0,3,4,4
731,0,2,4,4
2668,0,4,4,4
4410,0,1,2,4
1434,0,4,4,4
4498,1,4,4,0
1714,0,4,4,4
3167,0,4,4,4
4461,0,4,4,0
4207,4,4,4,0
2617,0,4,4,3
3193,0,4,4,4
222,0,2,4,4
684,0,4,4,4
132,0,3,4,4
3942,0,4,1,4
2228,0,4,4,4
1352,0,4,4,4
3317,0,4,4,4
2333,0,2,4,0
4514,-,,,
1055,0,4,4,0
3678,2,3,4,4
3213,0,4,4,4
953,0,2,4,0
3832,0,4,4,0
2741,3,4,4,0
2593,0,4,3,4
2191,,,,
2888,,,,
918,,,,
3270,,,,
111,,,,
3288,,,,
2323,,,,
25,,,,
3185,,,,
4168,,,,
2807,,,,
3641,,,,
1029,,,,
1345,,,,
3897,,,,
3600,,,,
82,,,,
1291,,,,
2346,,,,
902,,,,
586,,,,
2503,,,,
3326,,,,
118,,,,
1122,,,,
3120,,,,
2635,,,,
89,,,,
751,,,,
2975,,,,
1690,,,,
1809,,,,
1741,,,,
3277,,,,
52,,,,
2452,,,,
4591,,,,
2129,,,,
940,,,,
473,,,,
3104,,,,
4053,,,,
2545,,,,
1335,,,,
1768,,,,
749,,,,
2920,,,,
1835,,,,
752,,,,
2073,,,,
942,,,,
2933,,,,
3267,,,,
197,,,,
2090,,,,
4395,,,,
3681,,,,
3673,,,,
199,,,,
4273,,,,
2296,,,,
3478,,,,
937,,,,
418,,,,
3263,,,,
4567,,,,
4592,,,,
3890,,,,
3479,,,,
660,,,,
1215,,,,
1487,,,,
3636,,,,
2820,,,,
3024,,,,
1368,,,,
2013,,,,
193,,,,
2377,,,,
1174,,,,
4449,,,,
4607,,,,
2622,,,,
1082,,,,
2470,,,,
4609,,,,
3666,,,,
2802,,,,
2637,,,,
1987,,,,
1803,,,,
748,,,,
394,,,,
912,,,,
464,,,,
4453,,,,
844,,,,
969,,,,
1985,,,,
3917,,,,
1076,,,,
2940,,,,
21,,,,
2524,,,,
1401,,,,
3350,,,,
4322,,,,
2674,,,,
3551,,,,
1964,,,,
2307,,,,
4167,,,,
730,,,,
4652,,,,
847,,,,
3776,,,,
226,,,,
2583,,,,
3903,,,,
4508,,,,
192,,,,
4297,,,,
1078,,,,
3598,,,,
1616,,,,
594,,,,
1952,,,,
295,,,,
4454,,,,
1900,,,,
2020,,,,
3751,,,,
2959,,,,
3085,,,,
2906,,,,
2209,,,,
3665,,,,
1731,,,,
3322,,,,
2666,,,,
1163,,,,
3863,,,,
1788,,,,
546,,,,
3967,,,,
652,,,,
2837,,,,
2831,,,,
590,,,,
3682,,,,
4078,,,,
4076,,,,
195,,,,
2902,,,,
2245,,,,
4357,,,,
2886,,,,
4412,,,,
2241,,,,
2785,,,,
373,,,,
17,,,,
1591,,,,
1370,,,,
3858,,,,
4539,,,,
3675,,,,
1650,,,,
4618,,,,
3900,,,,
4248,,,,
141,,,,
3777,,,,
105,,,,
4721,,,,
827,,,,
931,,,,
2451,,,,
3257,,,,
4158,,,,
1774,,,,
1354,,,,
2928,,,,
3203,,,,
784,,,,
101,,,,
2227,,,,
1313,,,,
3876,,,,
1421,,,,
964,,,,
2516,,,,
1647,,,,
4056,,,,
1724,,,,
2421,,,,
2743,,,,
1248,,,,
1058,,,,
2131,,,,
1995,,,,
3655,,,,
3344,,,,
3472,,,,
694,,,,
2742,,,,
264,,,,
4128,,,,
2655,,,,
1981,,,,
99,,,,
4138,,,,
2995,,,,
4025,,,,
963,,,,
2680,,,,
3214,,,,
2599,,,,
2874,,,,
1232,,,,
3768,,,,
2053,,,,
1813,,,,
906,,,,
1297,,,,
1783,,,,
2397,,,,
1422,,,,
3975,,,,
2193,,,,
488,,,,
776,,,,
2265,,,,
3820,,,,
1330,,,,
839,,,,
267,,,,
3160,,,,
1551,,,,
1192,,,,
3206,,,,
2565,,,,
461,,,,
416,,,,
2098,,,,
262,,,,
426,,,,
2061,,,,
531,,,,
3949,,,,
