id,structure,informativity,on-topic,correctness
2651,0,3,4,4
3640,4,4,4,0
3303,0,4,4,0
3793,0,4,4,4
2894,0,3,4,4
2312,0,3,4,0
3180,0,1,1,1
1071,0,4,4,4
1637,0,2,2,2
4435,0,4,4,4
4091,0,3,3,3
4710,0,4,4,0
470,4,4,4,0
2168,0,4,4,4
1455,0,4,4,4
815,0,4,4,4
1855,0,4,4,4
2183,0,2,4,0
3046,0,2,2,2
1141,0,4,3,3
1916,0,4,4,4
2993,4,4,4,3
1477,0,4,4,3
2529,0,2,4,4
311,0,4,4,4
4512,4,4,4,4
4126,4,4,4,4
1780,0,4,4,4
4485,0,1,4,2
1182,4,4,4,4
4620,0,4,4,4
1776,0,4,4,4
1065,0,4,4,4
2464,0,4,4,0
725,0,4,4,4
2422,1,4,4,3
1340,0,4,4,4
3419,0,4,4,4
2658,0,4,4,4
233,0,4,4,0
895,0,4,4,4
3359,4,4,4,4
3516,4,4,4,3
4252,0,3,4,4
2448,0,2,4,4
3261,4,3,4,4
3827,4,4,4,4
340,0,0,0,0
2274,0,4,4,4
2949,0,0,0,0
1135,0,0,0,0
2915,0,0,0,0
4108,0,4,4,4
3391,0,4,4,4
240,4,4,4,0
860,0,0,0,0
871,0,4,4,4
378,0,1,4,2
2555,0,4,4,4
3353,0,2,4,0
4534,0,4,4,3
1748,4,4,4,4
3981,0,4,4,4
2632,0,4,4,0
3891,0,4,4,4
4313,0,4,4,4
3307,0,3,4,4
2000,0,4,4,0
1106,4,4,4,4
868,0,3,4,4
3112,0,1,1,1
4333,0,4,4,4
2609,4,4,4,4
2134,0,4,4,4
2927,4,4,4,0
3325,0,4,4,4
284,0,2,2,2
3586,0,4,4,4
4390,0,4,4,4
3922,0,1,3,3
4635,0,4,4,4
1917,0,4,4,0
801,0,4,4,4
463,0,1,3,2
1294,0,3,4,3
4649,4,3,4,3
3824,0,4,4,4
1275,0,4,4,4
4331,0,4,4,4
2273,0,4,4,4
1851,0,0,0,0
3696,0,3,3,3
4719,0,4,4,4
3415,0,4,4,4
2488,0,4,4,4
996,0,3,4,4
3136,0,2,4,3
3799,0,3,4,3
4644,0,4,4,0
2817,0,3,4,3
1195,4,2,4,4
4006,0,2,4,4
3518,0,4,4,4
2107,0,4,4,4
1970,0,3,4,4
4217,0,4,4,4
544,0,2,4,2
1361,4,4,4,4
289,0,4,4,0
4261,0,3,4,4
4570,0,4,4,4
669,0,3,4,4
1358,0,4,4,4
916,0,4,4,4
2523,0,4,4,4
146,0,4,4,4
41,0,4,4,4
2686,0,4,4,3
2885,0,2,4,2
2645,0,0,0,0
1973,0,4,4,4
3413,4,4,4,4
4700,0,4,4,4
2105,0,0,0,0
3654,0,4,4,0
2328,0,4,4,4
822,4,4,4,4
3613,4,4,4,3
2505,0,4,4,4
2512,0,4,4,4
2068,0,4,4,4
3557,2,2,4,3
4425,0,4,4,4
3607,0,4,4,4
2925,0,4,4,4
1009,0,0,0,0
3701,0,4,4,4
