id,structure,informativity,on-topic,correctness
2097,0,4,2,2
1623,0,4,4,0
1408,0,4,4,0
2240,4,2,4,0
1514,4,4,4,4
2943,0,4,4,3
3315,0,3,4,4
2621,4,3,4,3
960,0,3,4,0
1982,0,4,4,0
2316,0,4,4,0
1337,4,4,4,0
4224,2,3,3,4
2961,4,3,4,4
3599,0,4,4,0
1103,4,4,4,4
4687,4,3,4,0
2930,4,4,4,0
833,2,3,3,0
2008,3,4,4,4
338,3,3,4,0
4624,0,4,4,0
2115,0,4,4,0
479,4,4,4,4
545,3,3,3,0
800,4,4,4,4
734,4,4,4,4
1018,0,3,4,0
3956,3,4,4,0
1914,0,4,4,0
1689,3,4,4,4
1157,3,4,4,0
2027,0,2,4,0
163,4,2,4,0
4046,4,4,4,4
288,4,3,4,4
1062,4,3,4,0
705,3,4,3,4
64,4,3,4,0
4667,4,4,4,4
3637,3,4,4,0
3707,4,4,4,0
3962,0,3,4,0
1064,4,4,4,4
2,4,4,4,4
2795,0,3,3,3
1198,0,3,4,0
2525,3,2,3,4
1205,3,3,4,0
982,4,3,4,4
1542,4,3,4,4
3397,3,2,4,0
2467,4,4,4,4
3037,4,3,4,4
257,3,3,4,3
4199,3,2,4,3
2506,4,4,4,4
1080,4,3,4,0
3782,3,3,4,0
23,4,4,4,4
861,3,3,4,0
568,4,4,4,4
1857,,,,
3710,4,4,4,0
321,3,2,3,2
4139,4,4,4,0
2063,4,4,4,4
48,4,4,4,4
1497,4,3,4,4
1679,0,4,4,0
1007,4,4,4,4
1156,4,3,4,0
2366,4,4,4,4
951,4,4,4,4
1244,3,4,4,4
3210,3,4,4,0
873,4,4,4,4
4147,3,3,4,0
73,,,,
1188,0,3,4,0
2833,3,3,4,0
2851,3,3,3,4
1662,3,3,4,0
1398,4,4,4,0
16,4,4,4,4
1834,3,3,3,0
3509,3,3,4,4
1745,4,4,4,0
1276,4,3,4,0
2783,4,3,4,3
2266,0,3,4,0
2948,4,4,4,4
3266,4,4,4,4
4290,3,3,3,4
3749,4,4,4,4
1644,0,3,3,3
607,0,4,4,0
3789,3,3,4,3
2615,4,4,4,4
37,4,4,4,4
724,2,2,3,2
4051,0,3,4,3
4095,3,4,4,4
706,2,2,3,3
4157,0,3,4,3
3198,0,4,4,4
758,4,4,4,4
2215,4,4,4,4
3406,4,3,4,4
1423,4,4,4,3
2605,0,4,4,0
1431,4,4,4,4
2051,0,2,3,4
353,0,3,4,0
2864,0,3,4,4
147,4,4,4,4
3736,4,3,4,3
1462,4,3,3,4
1553,4,4,4,0
1138,0,3,3,0
673,3,3,4,4
3679,0,3,4,0
2462,4,3,4,4
2773,0,4,4,0
1609,0,4,4,4
508,0,3,4,4
1618,4,3,3,0
1303,4,4,4,4
4278,4,4,4,4
4474,4,3,3,0
3268,4,4,4,4
4349,4,4,4,0
2439,3,4,3,0
4314,4,4,4,4
2677,3,3,4,0
3166,2,3,3,0
252,4,4,4,4
188,4,3,4,0
4189,4,4,4,4
403,0,4,3,0
29,0,3,4,0
405,4,3,4,0
4073,0,4,4,0
2931,4,4,4,4
436,1,2,2,2
3713,3,3,3,0
50,3,3,4,4
1042,3,4,4,4
643,4,3,4,4
3232,2,3,3,4
630,3,4,3,2
2792,0,3,4,4
2929,3,2,4,0
1338,,,,
3347,4,4,4,4
2014,4,4,4,4
1377,3,3,3,4
91,4,3,3,4
3283,4,3,3,4
1302,4,3,4,4
4296,4,3,4,3
512,4,3,4,3
2481,4,3,4,0
