id,structure_relevance,structure_perfomance,informativity_relevance,informativity_perfomance,on-topic_relevance,on-topic_perfomace,evidence_relevance,evidence_perfomance,correctness_relevance,correctness_perfomance
2113,0,,1,4,1,2,1,4,1,4
534,0,,1,4,1,4,0,,1,4
4220,0,,1,3,1,4,1,3,0,
806,0,,1,4,1,4,0,,1,4
808,0,,1,4,1,4,1,4,1,3
3292,1,4,1,3,1,4,0,,1,4
4326,0,,1,4,1,4,0,,1,4
4009,0,4,1,4,1,3,0,,0,
727,0,,1,4,1,4,1,4,1,4
1385,1,4,1,3,1,4,1,3,1,3
2062,0,,1,2,1,3,1,2,1,4
3668,0,,1,3,1,4,1,3,1,4
2625,0,,1,1,1,4,0,,1,4
650,1,4,1,4,1,3,0,,1,4
1107,1,4,1,4,1,4,0,,0,
3245,0,,1,4,1,4,0,,1,4
1411,0,,1,3,1,4,1,2,1,4
2939,0,,1,2,1,4,0,,1,4
40,0,,1,4,1,4,0,,1,4
4552,0,,1,3,1,3,0,,1,4
1685,0,,1,4,1,4,0,,1,4
1831,1,4,1,3,1,4,0,,1,4
559,0,,1,4,1,4,0,,1,4
4118,1,1,1,4,1,4,0,,0,
3737,0,,1,3,1,4,0,,1,4
1931,0,,1,4,1,4,0,,0,
413,0,,1,4,1,4,0,,1,4
667,0,,1,3,1,3,0,,1,4
1604,0,,1,4,1,4,0,,1,4
1868,1,4,1,2,1,3,0,,0,
1002,0,,1,3,1,4,1,3,1,4
723,0,,1,3,1,4,0,,1,4
3107,1,3,1,4,1,4,1,4,1,4
2224,0,,1,4,1,4,1,4,1,4
2661,0,,1,4,1,3,0,,0,
2540,1,4,1,3,1,4,0,,1,4
4643,0,,1,3,1,4,0,,1,4
3819,0,,1,3,1,2,1,1,1,2
579,0,,1,3,1,4,0,,1,4
120,0,,1,3,1,4,0,,0,
1571,0,,1,4,1,4,0,,1,3
2095,0,,1,3,1,4,0,,1,4
2032,1,4,1,4,1,4,0,,0,
294,0,,1,4,1,3,0,,1,4
909,0,,1,4,1,4,0,,1,4
2611,0,,1,2,1,3,0,,1,4
3426,0,,1,3,1,4,0,,1,4
858,1,4,1,4,1,4,0,,1,4
3770,1,4,1,4,1,4,0,,0,
8,0,,1,4,1,4,0,,0,
3859,0,,1,4,1,4,1,4,1,4
2305,0,,1,1,1,2,1,3,1,4
3945,0,,1,4,1,3,0,,1,3
3805,0,,1,2,1,4,0,,1,4
2703,0,,1,4,1,4,0,,0,
1796,0,,1,4,1,4,0,,1,4
4381,0,,1,3,1,2,0,,1,4
4560,0,,1,2,1,4,0,,1,4
4312,1,3,1,4,1,4,0,,0,
274,0,,1,4,1,4,0,,0,
