id,structure_relevance,structure_perfomance,informativity_relevance,informativity_perfomance,on-topic_relevance,on-topic_perfomace,evidence_relevance,evidence_perfomance,correctness_relevance,correctness_perfomance
2113,0,0,1,3,1,4,1,2,1,4
534,0,0,1,4,1,4,0,0,1,4
4220,0,0,1,3,1,4,0,0,1,4
806,0,0,1,3,1,3,1,1,1,4
808,0,0,1,4,1,4,0,0,1,4
3292,1,4,1,2,1,4,0,0,1,3
4326,0,0,1,4,1,4,0,0,1,4
4009,1,4,0,0,1,3,0,0,0,0
727,0,0,1,3,1,4,1,2,1,4
1385,1,3,1,3,1,4,0,0,1,3
2062,0,0,1,4,1,4,0,0,1,4
3668,0,0,1,4,1,4,0,0,1,3
2625,0,0,1,4,1,4,0,0,1,4
650,1,4,1,4,1,4,0,0,1,4
1107,1,4,0,0,1,4,0,0,1,2
3245,0,0,0,0,1,4,0,0,1,4
1411,0,0,1,4,1,4,0,0,1,4
2939,0,0,1,4,1,4,0,0,1,4
40,0,0,1,3,1,4,0,0,1,4
4552,0,0,1,3,1,3,0,0,1,4
1685,0,0,1,4,1,4,0,0,1,4
1831,1,2,1,2,1,4,0,0,1,4
559,0,0,1,4,1,4,0,0,1,4
4118,1,4,1,4,1,4,0,0,1,4
3737,1,2,1,2,1,3,0,0,1,4
1931,0,0,1,4,1,4,0,0,1,4
413,0,0,1,3,1,2,0,0,1,4
667,0,0,1,3,1,4,0,0,1,4
1604,0,0,1,4,1,4,0,0,1,4
1868,1,4,1,4,1,4,1,1,1,3
1002,0,0,1,1,1,4,0,0,1,4
723,0,0,1,4,1,4,0,0,1,4
3107,1,4,1,3,1,4,1,4,1,4
2224,0,0,1,4,1,4,0,0,1,4
2661,0,0,1,4,1,4,0,0,1,4
2540,0,0,1,4,1,4,0,0,1,4
4643,0,0,1,3,1,4,0,0,1,2
3819,0,0,1,4,1,4,0,0,1,4
579,0,0,1,4,1,4,0,0,1,4
120,0,0,1,1,1,4,0,0,1,4
1571,0,0,1,3,1,4,1,4,1,4
2095,0,0,1,4,1,4,0,0,1,4
2032,1,4,1,4,1,4,1,1,1,3
294,,,,,,,,,,
909,,,,,,,,,,
2611,,,,,,,,,,
3426,,,,,,,,,,
858,,,,,,,,,,
3770,,,,,,,,,,
8,,,,,,,,,,
3859,,,,,,,,,,
2305,,,,,,,,,,
3945,,,,,,,,,,
3805,,,,,,,,,,
2703,,,,,,,,,,
1796,,,,,,,,,,
4381,,,,,,,,,,
4560,,,,,,,,,,
4312,,,,,,,,,,
274,,,,,,,,,,
