id,structure_relevance,structure_perfomance,informativity_relevance,informativity_perfomance,on-topic_relevance,on-topic_perfomace,evidence_relevance,evidence_perfomance,correctness_relevance,correctness_perfomance
2113,0.0,0.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,4.0
534,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0
4220,0.0,0.0,1.0,4.0,1.0,0.0,1.0,4.0,1.0,4.0
806,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4
808,0.0,0.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,4.0
3292,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0
4326,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0
4009,1.0,4.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0
727,0.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,1.0,4.0
1385,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0
2062,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0
3668,0.0,0.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,3.0
2625,0.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,1.0,4.0
650,1.0,4.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0
1107,1.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
3245,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
1411,0.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,1.0,4.0
2939,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0
40,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0
4552,0.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,1.0,4.0
1685,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0
1831,1.0,4.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,4.0
559,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0
4118,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
3737,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,4.0
1931,0.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0
413,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0
667,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0
1604,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0
1868,1.0,4.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0
1002,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,4.0
723,0.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0
3107,1.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0
2224,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0
2661,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0
2540,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0
4643,0.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,1.0,4.0
3819,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0
579,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0
120,0.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,1.0,4.0
1571,0.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,1.0,4.0
2095,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0
2032,1.0,4.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0
294,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,3.0
909,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0
2611,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,4.0
3426,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0
858,1.0,4.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,4.0
3770,1.0,4.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0
8,1.0,4.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0
3859,0.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,1.0,4.0
2305,0.0,0.0,1.0,0.0,1.0,4.0,1.0,4.0,1.0,2.0
3945,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,4.0
3805,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0
2703,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0
1796,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0
4381,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0
4560,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0
4312,1.0,3.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0
274,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0
