id,structure_relevance,structure_perfomance,informativity_relevance,informativity_perfomance,on-topic_relevance,on-topic_perfomace,evidence_relevance,evidence_perfomance,correctness_relevance,correctness_perfomance
2113,1,4,1,3,1,3,1,4,1,4
534,1,4,1,4,1,4,0,0,0,0
4220,0,0,1,3,1,4,0,0,0,0
806,0,0,1,3,1,4,1,4,1,4
808,1,4,1,4,1,4,1,4,1,4
3292,1,3,1,3,1,4,1,4,1,4
4326,0,0,1,4,1,4,1,4,1,4
4009,0,0,1,4,1,4,0,0,0,0
727,0,0,1,3,1,4,1,4,1,4
1385,1,4,1,3,1,4,1,4,1,4
2062,1,1,1,2,1,3,1,4,1,4
3668,1,2,1,3,1,4,1,4,1,4
2625,0,0,1,4,1,4,1,4,1,4
650,1,4,1,3,1,4,1,4,1,4
1107,0,0,1,4,1,4,0,0,0,0
3245,0,0,1,4,1,4,1,3,1,3
1411,0,0,1,3,1,4,1,4,1,4
2939,0,0,1,4,1,4,1,4,1,4
40,0,0,1,3,1,4,1,4,1,4
4552,1,3,1,3,1,4,1,4,1,4
1685,0,0,1,3,1,4,1,4,1,4
1831,0,0,1,1,1,4,1,4,1,4
559,0,0,1,4,1,4,1,3,1,3
4118,0,0,1,4,1,4,0,0,0,0
3737,1,4,1,2,1,4,0,0,0,0
1931,0,0,1,4,1,4,1,4,1,4
413,0,0,1,4,1,3,1,2,1,2
667,0,0,1,3,1,3,0,0,1,4
1604,1,3,1,4,1,4,0,0,0,0
1868,0,0,1,4,1,4,1,2,1,2
1002,0,0,1,2,1,4,0,0,0,0
723,1,3,1,4,1,4,1,1,1,4
3107,0,0,1,4,1,4,1,4,1,4
2224,0,0,1,3,1,4,1,4,1,4
2661,0,0,1,4,1,4,0,0,0,0
2540,0,0,1,3,1,4,0,0,0,0
4643,0,0,1,3,1,4,0,0,1,3
3819,1,2,1,3,1,3,1,2,1,2
579,0,0,1,4,1,4,1,3,1,4
120,0,0,1,2,1,3,1,2,1,4
1571,1,4,1,3,1,4,1,4,1,4
2095,0,0,1,4,1,4,1,4,1,4
2032,1,4,1,4,1,3,0,0,0,0
294,0,0,1,3,1,3,1,4,1,4
909,0,0,1,3,1,4,0,0,1,4
2611,1,4,1,3,1,4,1,4,1,4
3426,0,0,1,4,1,4,0,0,1,4
858,1,4,1,2,1,4,0,0,0,0
3770,1,4,1,4,1,4,0,0,0,0
8,1,4,1,4,1,4,0,0,1,4
3859,0,0,1,3,1,4,0,0,0,0
3945,1,4,1,4,1,4,0,0,0,0
3805,1,3,1,3,1,4,1,3,1,4
2703,0,0,1,4,1,4,0,0,0,0
1796,0,0,1,4,1,4,1,4,1,4
4381,1,3,1,3,1,3,1,4,1,4
4560,0,0,1,4,1,4,1,4,1,4
4312,0,0,1,4,1,4,0,0,0,0
274,0,0,1,4,1,4,0,0,0,0
