id,structure,informativity,on-topic,correctness,usefulness,preference
3141,0,4,4,4,4,0
1029,0,3,4,4,3,0
902,4,4,4,4,4,0
2888,0,4,4,4,4,1
4461,0,4,4,4,4,0
2222,0,4,4,4,4,0
1714,0,4,4,4,4,1
3092,0,3,4,4,3,0
25,0,4,4,4,4,1
222,0,3,4,4,3,0
4168,0,4,4,4,4,0
586,0,4,4,4,4,1
2668,0,4,4,4,4,0
1037,0,4,4,4,4,1
3213,0,4,4,4,4,1
3317,0,4,4,4,4,1
3897,0,4,4,4,4,1
953,0,2,3,1,1,2
1434,0,4,4,4,4,1
731,0,4,4,4,4,1
1345,4,3,4,0,4,2
4197,3,4,4,4,4,0
2951,4,3,4,4,4,0
3818,0,3,4,0,4,0
1996,0,2,2,2,2,2
684,0,4,4,4,4,2
4207,4,4,4,4,4,0
2807,4,4,4,4,4,1
2333,0,4,4,0,4,0
1055,0,3,4,4,4,0
