id,structure,informativity,on-topic,correctness,usefulness,preference
1954,0,3,3,3,3,2
2218,0,3,3,3,4,0
554,0,4,4,4,4,0
3630,0,4,4,4,4,2
4496,0,3,3,3,3,2
2997,0,3,4,4,4,0
3031,4,4,4,4,4,2
3929,0,2,3,4,4,0
2334,0,4,4,4,4,2
127,0,4,4,4,4,2
3306,0,4,4,4,4,1
3821,0,3,3,3,3,2
2734,0,4,4,4,4,1
3183,0,4,4,4,4,2
4625,0,3,3,3,4,2
3159,0,4,4,4,4,1
3351,0,3,3,4,4,1
3864,0,4,4,4,4,0
1048,0,4,4,4,4,1
4311,0,4,4,4,4,0
2560,0,4,4,0,4,2
4673,0,3,3,0,3,2
290,0,3,4,1,4,2
3491,4,3,3,2,3,0
4007,0,4,4,4,4,1
4234,4,3,3,3,4,2
4494,4,2,3,3,3,2
83,4,2,4,3,3,2
2485,4,2,2,2,3,2
1150,0,3,4,0,4,0
