id,structure,informativity,on-topic,correctness,usefulness,preference
3937,0,4,4,4,4,0
131,0,3,4,4,3,2
2724,0,4,4,4,4,1
4391,0,1,1,1,1,0
3081,4,4,4,4,4,2
1456,0,1,1,1,3,2
3634,0,4,4,4,4,0
1108,0,4,4,4,4,2
3834,0,4,4,4,4,0
3485,0,2,2,4,3,2
355,0,3,3,4,3,2
2757,0,4,4,4,4,1
1669,0,1,1,1,3,2
3338,0,3,4,3,3,0
2718,0,4,4,4,4,0
1262,0,3,4,3,3,2
3966,0,1,1,2,2,2
248,0,4,4,4,4,1
1242,0,3,3,3,3,2
62,0,4,4,4,4,1
870,0,4,4,0,4,2
3465,0,2,3,0,3,0
1323,4,2,3,3,4,2
1579,4,2,3,3,4,2
685,4,4,4,4,4,1
4271,4,4,4,4,4,1
2321,4,3,3,1,1,2
2386,0,3,3,3,3,0
3131,4,2,3,3,3,2
1598,0,3,3,1,1,2
