id,structure,informativity,on-topic,correctness,usefulness,preference
1601,4,2,4,3,3,0
801,0,4,4,4,4,1
1580,0,2,4,4,3,2
463,4,4,4,4,4,0
2448,0,1,4,2,2,0
3891,0,4,4,4,4,2
3827,4,4,4,4,4,1
1973,0,2,4,3,3,0
4570,0,3,4,3,3,0
3261,4,3,4,4,4,0
4292,0,4,4,4,4,0
229,0,4,4,4,4,1
2822,4,4,4,4,4,2
1767,0,4,4,4,4,1
3046,0,4,4,4,4,0
1455,0,4,4,4,4,1
2580,0,4,4,4,4,1
2614,0,3,4,4,3,2
662,0,4,4,4,4,0
1658,0,4,4,4,4,1
2464,0,4,1,0,1,2
2859,4,4,4,0,4,2
2927,4,3,4,0,4,2
340,4,4,4,4,4,1
1012,0,4,4,4,4,0
470,4,3,4,4,4,0
1492,4,3,4,0,3,0
3611,0,4,4,0,4,0
1917,0,4,4,4,4,2
3775,4,2,4,1,1,2
