id,structure,informativity,on-topic,correctness,usefulness,preference
2240,0,3,4,4,2,0
833,0,4,4,4,4,0
706,0,3,4,4,3,2
2115,0,4,4,4,4,2
4290,0,4,4,4,4,0
3397,0,3,4,4,3,0
1062,4,3,4,3,3,2
1157,0,4,4,4,4,0
2833,0,3,4,4,3,2
1337,0,4,4,4,4,0
2,0,4,4,4,4,1
2215,0,4,4,4,4,1
1514,0,4,4,4,4,0
3406,0,4,4,4,4,2
2063,0,4,4,4,4,1
48,0,4,4,4,4,1
1007,0,4,4,4,4,1
23,0,4,4,4,4,1
1689,0,4,4,4,4,2
2525,0,4,4,4,4,0
2948,0,4,4,4,4,1
1834,4,4,4,0,4,2
2027,0,4,4,4,4,0
1198,0,1,1,1,1,0
4624,0,3,3,3,3,2
1080,4,4,4,0,4,2
1497,4,4,4,2,2,1
1244,4,4,4,4,4,0
2366,0,1,1,0,1,2
2943,4,4,4,3,3,0
