id,structure,informativity,on-topic,correctness,category
6,0,4,4,0,brainstorming
9,4,3,4,0,brainstorming
10,0,3,4,4,summarization
20,0,4,4,4,summarization
24,0,4,4,4,summarization
25,0,4,4,4,summarization
31,4,4,4,4,brainstorming
35,4,4,4,4,summarization
41,0,4,4,4,brainstorming
43,0,4,4,4,closed_qa
44,4,4,4,4,brainstorming
45,0,4,4,4,closed_qa
62,0,4,4,4,closed_qa
66,0,4,4,4,closed_qa
72,4,2,4,4,brainstorming
74,0,3,3,3,brainstorming
79,0,1,1,1,closed_qa
82,0,4,4,4,summarization
83,0,4,4,4,brainstorming
93,1,4,4,0,brainstorming
98,0,3,4,4,closed_qa
111,4,4,4,4,brainstorming
112,0,4,4,2,summarization
118,0,4,4,4,closed_qa
122,4,4,4,0,brainstorming
123,0,4,4,4,closed_qa
127,0,3,4,4,summarization
131,0,4,4,4,summarization
132,0,3,4,4,summarization
139,0,3,4,3,summarization
144,0,4,4,4,summarization
146,0,4,4,4,closed_qa
168,0,4,4,4,summarization
170,0,3,3,3,summarization
171,0,2,4,2,summarization
177,1,4,4,0,brainstorming
183,0,4,4,4,closed_qa
185,3,4,4,4,summarization
203,0,2,4,1,closed_qa
206,0,4,4,4,closed_qa
213,0,4,4,4,summarization
222,0,2,4,4,summarization
229,0,4,4,4,closed_qa
233,0,4,4,0,brainstorming
239,0,4,4,0,brainstorming
240,4,4,4,0,brainstorming
244,0,4,4,4,closed_qa
248,0,3,4,3,closed_qa
251,0,4,4,4,brainstorming
253,0,4,4,4,summarization
272,0,4,4,3,summarization
273,0,4,4,0,brainstorming
284,0,2,2,2,summarization
289,0,4,4,0,brainstorming
290,4,4,4,4,brainstorming
298,0,4,4,4,closed_qa
301,0,1,1,1,closed_qa
311,0,4,4,4,brainstorming
312,0,4,4,4,brainstorming
322,0,4,4,4,closed_qa
340,0,4,4,4,brainstorming
352,3,3,4,3,summarization
355,0,4,4,4,closed_qa
363,0,4,4,4,summarization
365,0,4,4,4,closed_qa
372,0,4,4,4,closed_qa
378,0,1,4,2,summarization
380,0,2,4,2,summarization
389,0,1,1,1,closed_qa
392,1,2,4,1,summarization
393,0,3,4,4,closed_qa
395,0,4,4,4,closed_qa
431,0,4,4,4,closed_qa
432,0,2,2,3,closed_qa
439,0,4,4,4,closed_qa
442,0,4,4,4,summarization
450,4,4,4,4,brainstorming
452,0,4,4,4,closed_qa
457,4,4,4,0,brainstorming
460,0,4,4,4,summarization
463,0,1,3,2,summarization
470,4,4,4,0,brainstorming
484,0,4,4,4,closed_qa
494,0,1,4,1,summarization
544,0,2,4,2,summarization
551,0,4,4,4,summarization
552,0,2,4,2,closed_qa
554,0,2,4,4,summarization
558,0,4,4,4,summarization
572,0,1,1,1,summarization
584,0,3,4,4,closed_qa
586,0,4,4,4,closed_qa
603,0,4,4,0,brainstorming
620,0,4,4,4,closed_qa
625,0,1,1,1,closed_qa
662,0,4,4,4,closed_qa
669,0,3,4,4,summarization
684,0,4,4,4,brainstorming
685,4,4,4,0,brainstorming
687,0,4,4,0,brainstorming
690,0,3,4,4,closed_qa
693,0,1,1,1,closed_qa
701,0,4,4,4,summarization
716,0,1,2,4,summarization
725,0,4,4,4,summarization
731,0,2,4,4,closed_qa
733,0,4,4,0,brainstorming
753,0,2,4,0,brainstorming
754,4,4,4,0,brainstorming
761,0,1,1,1,closed_qa
762,0,4,4,4,summarization
770,0,4,4,4,closed_qa
791,0,4,4,4,closed_qa
801,0,4,4,4,summarization
802,0,4,4,4,summarization
815,0,4,4,4,closed_qa
822,4,4,4,4,brainstorming
829,0,2,4,2,summarization
851,0,4,4,4,closed_qa
860,0,4,4,4,brainstorming
862,0,4,4,0,brainstorming
868,0,3,4,4,closed_qa
870,0,4,4,0,brainstorming
871,0,4,4,4,summarization
888,0,4,4,0,brainstorming
895,0,4,4,4,summarization
897,0,4,4,3,summarization
900,0,4,4,4,summarization
902,1,1,4,4,summarization
903,0,4,4,4,summarization
916,0,4,4,4,closed_qa
918,0,4,4,4,closed_qa
950,0,4,4,0,brainstorming
953,0,2,4,0,closed_qa
956,0,4,4,4,brainstorming
961,0,4,4,4,closed_qa
976,0,4,4,4,summarization
978,0,4,4,0,brainstorming
996,0,3,4,4,summarization
1009,4,4,4,4,brainstorming
1011,0,4,4,4,brainstorming
1012,0,4,4,4,brainstorming
1028,4,4,4,0,brainstorming
1029,0,1,2,4,summarization
1032,0,3,4,4,closed_qa
1037,0,4,4,4,closed_qa
1044,4,4,3,3,summarization
1048,0,4,4,4,closed_qa
1055,0,4,4,0,brainstorming
1059,0,4,4,0,brainstorming
1060,0,4,4,4,brainstorming
1061,4,4,4,0,brainstorming
1065,0,4,4,4,closed_qa
1066,4,4,4,4,brainstorming
1070,0,3,4,3,closed_qa
1071,0,4,4,4,closed_qa
1077,0,4,4,4,closed_qa
1105,0,4,4,4,brainstorming
1106,4,4,4,4,brainstorming
1108,0,4,4,4,summarization
1122,0,2,3,4,summarization
1123,0,4,4,2,brainstorming
1129,0,4,4,0,brainstorming
1135,0,4,4,4,brainstorming
1141,0,4,3,3,summarization
1148,0,4,4,4,closed_qa
1150,0,2,4,0,brainstorming
1162,0,4,4,4,closed_qa
1167,0,4,4,4,summarization
1182,4,4,4,4,brainstorming
1195,4,2,4,4,summarization
1199,0,4,4,4,summarization
1201,2,3,3,0,brainstorming
1216,0,4,4,4,closed_qa
1221,0,4,4,4,summarization
1224,0,3,4,4,closed_qa
1230,0,3,4,4,summarization
1242,0,4,4,4,closed_qa
1250,4,4,4,4,brainstorming
1262,0,3,4,4,closed_qa
1275,0,4,4,4,closed_qa
1278,0,4,4,4,brainstorming
1279,0,2,4,1,closed_qa
1282,0,4,4,4,closed_qa
1284,0,3,4,2,summarization
1287,4,2,4,2,brainstorming
1291,0,4,4,4,summarization
1294,0,3,4,3,closed_qa
1323,0,4,4,4,brainstorming
1340,0,4,4,4,closed_qa
1343,0,4,4,4,closed_qa
1345,4,3,4,0,brainstorming
1350,0,4,4,4,brainstorming
1352,0,4,4,4,closed_qa
1356,4,4,4,4,brainstorming
1358,0,4,4,4,closed_qa
1361,4,4,4,4,summarization
1372,2,4,4,0,brainstorming
1379,3,2,4,4,summarization
1384,0,4,4,0,brainstorming
1399,0,1,4,3,summarization
1410,4,4,4,4,brainstorming
1420,0,4,4,4,summarization
1434,0,4,4,4,closed_qa
1436,0,4,4,4,closed_qa
1454,0,4,4,4,brainstorming
1455,0,4,4,4,closed_qa
1456,0,3,3,3,summarization
1459,0,2,2,0,brainstorming
1466,0,4,4,4,closed_qa
1474,0,4,4,0,brainstorming
1477,0,4,4,3,summarization
1480,0,1,1,1,summarization
1492,1,4,4,0,brainstorming
1494,0,4,4,0,brainstorming
1496,0,4,4,0,brainstorming
1500,0,1,3,1,summarization
1503,0,4,4,4,summarization
1531,0,1,4,4,summarization
1535,0,4,4,4,summarization
1537,0,4,4,4,brainstorming
1538,0,4,4,0,brainstorming
1540,4,4,4,4,brainstorming
1550,4,4,4,0,brainstorming
1552,0,2,2,2,summarization
1577,4,4,4,0,brainstorming
1579,4,4,4,0,brainstorming
1580,0,3,4,2,summarization
1588,0,4,3,2,closed_qa
1598,0,4,4,4,brainstorming
1601,4,4,4,4,summarization
1605,0,4,4,4,summarization
1612,4,4,4,4,brainstorming
